,uni_id,uni_name,enroll_id,enroll_name
,65,"University of California, Los Angeles David Geffen School of Medicine",18,UCLA-Geffen
,82,University of Miami Leonard M. Miller School of Medicine,30,miami-miller
,85,Medical College of Georgia at Augusta University,35,MC Georgia Augusta
,96,University of Chicago Division of the Biological Sciences The Pritzker School of Medicine,42,Chicago-Pritzker
,93,Northwestern University The Feinberg School of Medicine,45,Northwestern-Feinberg
,126,Louisiana State University School of Medicine in New Orleans,52,LSU New Orleans
,127,Louisiana State University School of Medicine in Shreveport,53,LSU Shreveport
,129,Boston University School of Medicine,55,BU-Chobanian Avedisian
,181,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,61,Uniformed Services-Hebert
,186,Oakland University William Beaumont School of Medicine,65,Oakland Beaumont
,188,Wayne State University School of Medicine,66,Wayne State
,194,University of Missouri-Columbia School of Medicine,70,Missouri Columbia
,195,University of Missouri-Kansas City School of Medicine,71,Missouri Kansas City
,196,Washington University in St. Louis School of Medicine,73,Washington U St Louis
,200,Brody School of Medicine at East Carolina University,76,East Carolina-Brody
,202,University of North Carolina at Chapel Hill School of Medicine,77,North Carolina
,204,University of North Dakota School of Medicine and Health Sciences,79,North Dakota
,220,Cooper Medical School of Rowan University,83,Cooper Rowan
,223,Rutgers Robert Wood Johnson Medical School,86,Rutgers-RW Johnson
,227,"University of Nevada, Reno School of Medicine",88,Nevada Reno
,230,Columbia University Vagelos College of Physicians and Surgeons,93,Columbia-Vagelos
,233,Icahn School of Medicine at Mount Sinai,96,Mount Sinai-Icahn
,236,New York University Long Island School of Medicine,97,NYU Long Island-Grossman
,235,New York University Grossman School of Medicine,98,NYU-Grossman
,507,New York Medical University (NYMU),99,New York Medical
,237,Renaissance School of Medicine at Stony Brook University,100,Renaissance Stony Brook
,739,SUNY Downstate Medical Center,102,SUNY Downstate
,740,SUNY Upstate Medical Center,103,SUNY Upstate-Norton
,232,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,104,Zucker Hofstra Northwell
,259,Case Western Reserve University School of Medicine,105,Case Western Reserve
,261,Northeast Ohio Medical University,107,Northeast Ohio
,262,Ohio State University College of Medicine,108,Ohio State
,267,University of Oklahoma College of Medicine,111,Oklahoma
,278,Pennsylvania State University College of Medicine,116,Penn State
,780,Temple University Lewis Katz School of Medicine,119,Temple-Katz
,288,Universidad Central del Caribe School of Medicine,120,Caribe
,286,Ponce School of Medicine,121,Ponce
,289,University of Puerto Rico School of Medicine,122,Puerto Rico
,784,San Juan Bautista School of Medicine,123,San Juan Bautista
,788,Medical University of South Carolina,125,MU South Carolina
,321,"University of South Dakota, Sanford School of Medicine",128,South Dakota-Sanford
,393,University of Houston College of Medicine,134,Houston-Fertitta
,388,TCU School of Medicine,135,TCU-Burnett
,394,University of Texas at Austin Dell Medical School,139,UT Austin-Dell
,387,McGovern Medical School at the University of Texas Health Science Center at Houston,140,UT Houston-McGovern
,395,University of Texas Medical Branch School of Medicine,141,UT Medical Branch-Sealy
,396,University of Texas Rio Grande Valley School of Medicine,142,UT Rio Grande Valley
,392,The University of Texas Health Science Center at San Antonio Joe R. and Teresa Lozano Long School of Medicine,143,UT San Antonio-Long
,397,University of Texas Southwestern Medical School,144,UT Southwestern
,2349,University of Texas at Tyler,145,UT Tyler
,398,University of Utah School of Medicine,146,Utah-Eccles
,473,Marshall University Joan C. Edwards School of Medicine,156,Marshall-Edwards
,474,West Virginia University School of Medicine,157,West Virginia
