State,Medical_School,2019-2020_school_year,2020-2021_school_year,2021-2022_school_year,2022-2023_school_year,2023-2024_school_year
TX,UT Southwestern,981,978,996,"1,015","1,021"
TX,UT Tyler,-,-,-,-,40
UT,Utah-Eccles,528,522,532,538,535
VA,Eastern Virginia,605,606,609,611,613
VA,Virginia,671,673,679,663,657
VA,Virginia Commonwealth,846,808,791,792,781
VA,Virginia Tech Carilion,173,174,186,194,200
VT,Vermont-Larner,490,492,503,506,510
WA,U Washington,"1,185","1,190","1,175","1,183","1,187"
WA,Washington State-Floyd,198,278,301,323,334
WI,MC Wisconsin,"1,018","1,036","1,046","1,075","1,097"
WI,Wisconsin,747,755,756,751,761
WV,Marshall-Edwards,336,327,328,336,313
WV,West Virginia,462,464,452,450,448
